
book_id,title,authors,average_ratings,description,language,isbn,genre,number_of_pages,publisher,publication_date,rating_counts,price_in_$,text-review_counts,category,sub_genre
32812.Paradiso,Paradiso,"Dante Alighieri, Dorothy L. Sayers (Translator), Barbara Reynolds (Translator)",3.95,"Dorothy L. Sayers's landmark translation follows Dante's terza rima stanza's and brings his poetry vividly to life. Her work was completed after her death by Barbara Reynolds, who provides a foreword on the importance of the translation and an introduction on Dante's view of Heaven. This edition also includes a new foreword, updated further reading, notes, appendices, a glossary, diagrams and genealogical tables.",English,9780140441055,Classics,400,Penguin Classics,1962-07-30,16037,3.65,222,Poetry,"('Poetry', 'Fiction', 'Literature', 'Religion', 'Italian Literature', 'Medieval', 'Fantasy', 'Philosophy', 'Italy')"
7898.Betsy_and_Joe,Betsy and Joe,"Maud Hart Lovelace, Vera Neville (Illustrator)",4.31,"Made for Each Other? Betsy Ray has always thought that she and the fascinating Joe Willard would make the perfect couple. Now, in her senior year at Deep Valley High School, it looks as though she'll get her wish. As soon as Joe returns from his summer job in North Dakota, he's on the Rays' porch with sweet words for Betsy. It's going to be a wonderful senior year!Then Tony Markham, Betsy's longtime chum, comes calling -- and his intentions are definitely romantic. Betsy is torn. She really cares for Joe, but she doesn't want to hurt Tony. Can she figure out a way to follow her heart without ruining her friendship?",English,9780064405461,Classics,336,HarperTrophy,1995-03-31,4799,21.71,119,Juvenile Fiction,"('Young Adult', 'Historical Fiction', 'Fiction', 'Childrens', 'Historical', 'Romance', 'Middle Grade', 'Childrens Classics', 'Juvenile')"
10210.Jane_Eyre,Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",4.13,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?",English,9780142437209,Classics,532,Penguin,2003-02-04,1624682,5.46,27884,Fiction,"('Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature')"
7890.Betsy_s_Wedding,Betsy's Wedding,"Maud Hart Lovelace, Vera Neville (Illustrator)",4.32,"Betsy returns from Europe to marry Joe Willard—and soon learns that beloved friend Tacy is expecting a baby! It's wartime in America, but Betsy, Joe, and their wonderful circle of friends brave their hardships together.",English,9780064405447,Classics,260,HarperTrophy,1996-03-31,4346,13.0,155,Juvenile Fiction,"('Young Adult', 'Historical Fiction', 'Fiction', 'Childrens', 'Historical', 'Romance', 'Middle Grade', 'Juvenile', 'Childrens Classics')"
14942.Mrs_Dalloway,Mrs. Dalloway,"Virginia Woolf, Maureen Howard (Foreword)",3.79,"Heralded as Virginia Woolf's greatest novel, this is a vivid portrait of a single day in a woman's life. When we meet her, Mrs. Clarissa Dalloway is preoccupied with the last-minute details of party preparation while in her mind she is something much more than a perfect society hostess. As she readies her house, she is flooded with remembrances of faraway times. And, met with the realities of the present, Clarissa reexamines the choices that brought her there, hesitantly looking ahead to the unfamiliar work of growing old.""Mrs. Dalloway was the first novel to split the atom. If the novel before Mrs. Dalloway aspired to immensities of scope and scale, to heroic journeys across vast landscapes, with Mrs. Dalloway Virginia Woolf insisted that it could also locate the enormous within the everyday; that a life of errands and party-giving was every bit as viable a subject as any life lived anywhere; and that should any human act in any novel seem unimportant, it has merely been inadequately observed. The novel as an art form has not been the same since.""Mrs. Dalloway also contains some of the most beautiful, complex, incisive and idiosyncratic sentences ever written in English, and that alone would be reason enough to read it. It is one of the most moving, revolutionary artworks of the twentieth century.""--Michael Cunningham, author of The Hours",English,9780151009985,Classics,194,Houghton Mifflin Harcourt,2002-10-28,223466,1.33,5595,Fiction,"('Fiction', 'Literature', 'Novels', 'British Literature', 'Feminism', '20th Century', 'Literary Fiction', 'School', 'English Literature')"
32590.Pan,Pan,"Knut Hamsun, Sverre Lyngstad (Translator)",3.89,"Lieutenant Thomas Glahn, a hunter and ex-military man, lives alone in a hut in the forest with his faithful dog Aesop. Upon meeting Edvarda, the daughter of a merchant in a nearby town, they are both strongly attracted to each other, but neither understands the other's love.",English,9780141180670,Classics,181,Penguin Classics,1998-09-01,7748,15.37,255,Fiction,"('Fiction', 'Scandinavian Literature', 'Literature', 'Novels', '19th Century', 'Romance', 'Nobel Prize', 'Fantasy', 'Literary Fiction')"
24335.The_Trumpet_of_the_Swan_50th_Anniversary,The Trumpet of the Swan 50th Anniversary,"E.B. White, Fred Marcellino (Illustrator)",4.08,"Swan SongLike the rest of his family, Louis is a trumpeter swan. But unlike his four brothers and sisters, Louis can't trumpet joyfully. In fact, he can't even make a sound. And since he can't trumpet his love, the beautiful swan Serena pays absolutely no attention to him.Louis tries everything he can think of to win Serena's affection—he even goes to school to learn to read and write. But nothing seems to work. Then his father steals him a real brass trumpet. Is a musical instrument the key to winning Louis his love?",English,9780064408677,Classics,252,HarperTrophy,2000-01-01,69375,3.81,1825,Juvenile Fiction,"('Childrens', 'Fiction', 'Animals', 'Fantasy', 'Young Adult', 'Middle Grade', 'Juvenile', 'Chapter Books', 'School')"
9784.Women_in_Love,Women in Love,D.H. Lawrence,3.67,"Widely regarded as D. H. Lawrence's greatest novel, Women in Love is both a lucid account of English society before the First World War, and a brilliant evocation of the inexorable power of human desire. Women in Love continues where The Rainbow left off, with the third generation of Brangwens: Ursula Brangwen, now a teacher at Beldover, a mining town in the Midlands, and her sister Gudrun, who has returned from art school in London. The focus of the novel is primarily on their relationships, Ursula's with Rupert Birkin, a school inspector, and Gudrun's with industrialist Gerald Crich, and later with a sculptor, Loerke. Quintessentially modernist, Women in Love is one of Lawrence's most extraordinary, innovative and unsettling works.",English,9780486424583,Classics,416,Dover Publications,2003-01-15,29296,2.86,702,Fiction,"('Fiction', 'Literature', 'Romance', 'Novels', 'British Literature', '20th Century', 'Banned Books', 'English Literature', 'Classic Literature')"
28419.La_D_b_cle,La Débâcle,"Émile Zola, Robert Lethbridge (Introduction), فرهاد غبرایی (Translator), Elinor Dorday (Translator)",4.01,"The penultimate novel of the Rougon-Macquart cycle, La Debacle (1892) takes as its subject the dramatic events of the Franco-Prussian War and the Commune of 1870-1. During Zola's lifetime it was the bestselling of all his novels, praised by contemporaries for its epic sweep as well as for its attention to historical detail. La Debacle seeks to explain why the Second Empire ended in a crushing military defeat and revolutionary violence. It focuses on ordinary soldiers, showing their bravery and suffering in the midst of circumstances they cannot control, and includes some of the most powerful description Zola ever wrote. Zola skilfully integrates his narrative of events and the fictional lives of his characters to provide the finest account of this tragic chapter in the history of France. Often compared to War and Peace, La Debacle has been described as a ""seminal"" work for all modern depictions of war.",English,9780192822895,Classics,592,Oxford University Press,2000-09-28,1217,4.29,52,Fiction,"('Fiction', 'France', 'French Literature', '19th Century', 'Historical Fiction', 'War', 'Novels', 'Literature', 'Historical')"
27822.Eugene_Onegin,Eugene Onegin,"Alexander Pushkin, James E. Falen (Translator)",4.1,"Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and it shows him attempting to transform himself from romantic poet into realistic novelist. This new translation seeks to retain both the literal sense and the poetic music of the original, and capture the poem's spontaneity and wit. The introduction examines several ways of reading the novel, and the text is richly annotated.",English,9780192838995,Classics,240,Oxford University Press,1998-10-22,51641,3.91,690,Fiction,"('Poetry', 'Russia', 'Fiction', 'Russian Literature', 'Literature', '19th Century', 'Romance', 'Novels', 'School')"
37415.Their_Eyes_Were_Watching_God,Their Eyes Were Watching God,Zora Neale Hurston,3.94,"Fair and long-legged, independent and articulate, Janie Crawford sets out to be her own person -- no mean feat for a black woman in the '30s. Janie's quest for identity takes her through three marriages and into a journey back to her roots.",English,9780061120060,Classics,219,Amistad,2006-05-30,265556,14.2,9536,Fiction,"('Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Novels', 'Feminism', 'Read For School', 'High School')"
6440.Ivanhoe,Ivanhoe,"Walter Scott, Graham Tulloch (Editor, Introduction)",3.75,"For this novel, Scott moved far away from the setting of his own turbulent time. He went back to the late 12th century, and to England rather than the Scottish settings of all his previous novels. He connected his writing Ivanhoe with his concerns about contemporary events.Scott drew together the apparently opposing themes of historical reality and chivalric romance, social realism and high adventure, past and present.",English,9780140436587,Classics,541,Penguin Books /Penguin Classics,2000-03-30,87022,4.17,1571,Fiction,"('Historical Fiction', 'Fiction', 'Adventure', 'Literature', 'Historical', 'Romance', 'Classic Literature', 'Novels', '19th Century')"
24580.The_Adventures_of_Tom_Sawyer_and_Adventures_of_Huckleberry_Finn,The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,"Mark Twain, Shelly Fisher Fishkin (Introduction)",4.09,"THE ADVENTURES OF TOM SAWYERTake a lighthearted, nostalgic trip to a simpler time, seen through the eyes of a very special boy named Tom Sawyer. It is a dreamlike summertime world of hooky and adventure, pranks and punishment, villains and first love, filled with memorable characters. Adults and young readers alike continue to enjoy this delightful classic of the promise and dreams of youth from one of America’s most beloved authors. ADVENTURES OF HUCKLEBERRY FINNHe has no mother, his father is a brutal drunkard, and he sleeps in a barrel. He’s Huck Finn—liar, sometime thief, and rebel against respectability. But when Huck meets a runaway slave named Jim, his life changes forever. On their exciting flight down the Mississippi aboard a raft, the boy nobody wanted matures into a young man of courage and conviction. As Ernest Hemingway said of this glorious novel, “All modern American literature comes from one book by Mark Twain called Huckleberry Finn.”--back cover",English,9780451528643,Classics,520,Signet Classics,2002-12-03,38549,5.26,453,Fiction,"('Fiction', 'Adventure', 'Literature', 'Young Adult', 'Childrens', 'Historical Fiction', 'American', 'Historical', 'Novels')"
5797.Vanity_Fair,Vanity Fair,"William Makepeace Thackeray, John Carey (Editor/Introduction)",3.79,"A novel that chronicles the lives of two women who could not be more different: Becky Sharp, an orphan whose only resources are her vast ambitions, her native wit, and her loose morals; and her schoolmate Amelia Sedley, a typically naive Victorian heroine, the pampered daughter of a wealthy family.",English,9780141439839,Classics,867,Penguin Books,2003-01-30,118061,3.11,2286,Fiction,"('Fiction', 'Historical Fiction', 'Literature', '19th Century', 'British Literature', 'Victorian', 'Romance', 'Classic Literature', 'Novels')"
19302.Pippi_Longstocking,Pippi Longstocking,"Astrid Lindgren, Florence Lamborn (Translator), Louis S. Glanzman (Illustrator)",4.13,"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!
--back cover",English,9780142402498,Classics,160,Puffin Books,2005-04-21,167879,6.7,2558,Juvenile Fiction,"('Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Humor', 'Adventure', 'Juvenile', 'Swedish Literature')"
31122.I_Capture_the_Castle,I Capture the Castle,Dodie Smith,4.0,"Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.",English,9780312181109,Classics,408,Wyatt Book,1998-03-31,84598,7.01,5954,Fiction,"('Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Coming Of Age', 'Historical', 'British Literature', 'Novels', 'Adult Fiction')"
17184.The_Invisible_Man,The Invisible Man,H.G. Wells,3.64,"This masterpiece of science fiction is the fascinating story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows.",English,9780451528520,Classics,192,Signet Classics,2002-09-03,145409,5.68,3892,Fiction,"('Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Literature', 'Audiobook', 'Novels', 'Science Fiction Fantasy', '19th Century')"
5304.De_Profundis_and_Other_Writings,De Profundis and Other Writings,"Oscar Wilde, Hesketh Pearson (Introduction)",4.21,"This collection contains, too, many examples of that humorous and epigrammatic genius which captured the London theatre and, by suddenly casting light from an unexpected angle, widened the bounds of truth.",English,9780140430899,Classics,252,Penguin Books,1976-08-26,2377,2.25,91,Fiction,"('Nonfiction', 'Essays', 'Poetry', 'Memoir', 'Literature', 'Philosophy', 'Biography', 'Irish Literature', '19th Century')"
2696.The_Canterbury_Tales,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)",3.5,"The procession that crosses Chaucer's pages is as full of life and as richly textured as a medieval tapestry. The Knight, the Miller, the Friar, the Squire, the Prioress, the Wife of Bath, and others who make up the cast of characters -- including Chaucer himself -- are real people, with human emotions and weaknesses. When it is remembered that Chaucer wrote in English at a time when Latin was the standard literary language across western Europe, the magnitude of his achievement is even more remarkable. But Chaucer's genius needs no historical introduction; it bursts forth from every page of The Canterbury Tales.If we trust the General Prologue, Chaucer intended that each pilgrim should tell two tales on the way to Canterbury and two tales on the way back. He never finished his enormous project and even the completed tales were not finally revised. Scholars are uncertain about the order of the tales. As the printing press had yet to be invented when Chaucer wrote his works, The Canterbury Tales has been passed down in several handwritten manuscripts.",English,9780140424386,Classics,521,Penguin Books/Penguin Classics,2003-01-30,188606,3.9,2365,Poetry,"('Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories', 'Historical Fiction', 'Classic Literature', 'Read For School')"
5479.Brave_New_World_Brave_New_World_Revisited,Brave New World / Brave New World Revisited,"Aldous Huxley, Christopher Hitchens (Foreword)",4.17,"The astonishing novel Brave New World, originally published in 1932, presents Aldous Huxley's vision of the future--of a world utterly transformed. Through the most efficient scientific and psychological engineering, people are genetically designed to be passive and therefore consistently useful to the ruling class. This powerful work of speculative fiction sheds a blazing critical light on the present and is considered to be Aldous Huxley's most enduring masterpiece.The non-fiction work Brave New World Revisited, published in 1958, is a fascinating work in which Huxley uses his tremendous knowledge of human relations to compare the modern-day world with his prophetic fantasy envisioned in Brave New World, including the threats to humanity, such as over-population, propaganda, and chemical persuasion.",English,9780060776091,Classics,340,Harper Perennial Modern Classics,2005-07-05,140217,14.57,1047,Fiction,"('Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy', 'Politics')"
7901.Betsy_Was_a_Junior,Betsy Was a Junior,"Maud Hart Lovelace, Vera Neville (Illustrator)",4.18,"The Best School Year Ever That's the kind of junior year Betsy Ray has planned for herself. And when her childhood friend Tib Muller moves back to Deep Valley, Betsy's sure her perfect year is off to a grand start. With charming, funny Tib around, Crowd doings are more fun than ever -- especially after Betsy starts Okto Delta, the first -- ever sorority at Deep Valley High.But soon Betsy's luck takes a bad turn. The Crowd is getting into trouble at school, and Betsy isn't given a chance to compete in the annual Essay Contest. Could Betsy's best school year turn out to be her worst?",English,9780064405478,Classics,320,HarperTrophy,1995-03-31,5047,32.05,126,Juvenile Fiction,"('Young Adult', 'Historical Fiction', 'Fiction', 'Childrens', 'Historical', 'Middle Grade', 'Childrens Classics', 'Juvenile', 'Coming Of Age')"
44133.The_Winter_s_Tale,The Winter's Tale,"William Shakespeare, Susan Snyder (Editor), Deborah T. Curren-Aquino (Editor)",3.71,"You can find an alternative cover for this ISBN here.The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems and an extensive introduction. The Winter's Tale is one of Shakespeare's most varied, theatrically self-conscious, and emotionally wide-ranging plays. Much of the play's copiousness inheres in its generic intermingling of tragedy, comedy, romance, pastoral, and the history play. In addition to dates and sources, the introduction attends to iterative patterns, the nature and cause of Leontes' jealousy, the staging and meaning of the bear episode, and the thematic and structural implications of the figure of Time. Special attention is paid to the ending and its tempered happiness. Performance history is integrated throughout the introduction and commentary. Appendices include the theatrical practice of doubling.",English,9780521293730,Classics,279,Cambridge University Press,2007-03-01,25568,2.85,587,Drama,"('Plays', 'Drama', 'Fiction', 'Theatre', 'Literature', 'Poetry', 'Romance', 'School', '17th Century')"
4934.The_Brothers_Karamazov,The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",4.32,"The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbalinventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.",English,9780374528379,Classics,796,"Farrar, Straus and Giroux",2002-06-14,243271,5.51,6795,Fiction,"('Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion')"
8337.Little_House_in_the_Big_Woods,Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams (Illustrator)",4.18,"Based on the real-life adventures of Laura Ingalls Wilder, Little House in the Big Woods is the first book in the award-winning Little House series, which has captivated generations of readers. This edition features the classic black-and-white artwork from Garth Williams.Little House in the Big Woods takes place in 1871 and introduces us to four-year-old Laura, who lives in a log cabin on the edge of the Big Woods of Wisconsin. She shares the cabin with her Pa, her Ma, her sisters Mary and Carrie, and their lovable dog, Jack.Pioneer life isn’t easy for the Ingalls family, since they must grow or catch all their own food as they get ready for the cold winter. But they make the best of every tough situation. They celebrate Christmas with homemade toys and treats, do their spring planting, bring in the harvest in the fall, and make their first trip into town. And every night, safe and warm in their little house, the sound of Pa’s fiddle lulls Laura and her sisters into sleep.The nine books in the timeless Little House series tell the story of Laura’s real childhood as an American pioneer, and are cherished by readers of all generations. They offer a unique glimpse into life on the American frontier, and tell the heartwarming, unforgettable story of a loving family.",English,9780060885373,Classics,198,HarperTrophy,2007-01-01,233066,1.91,3463,Juvenile Fiction,"('Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Juvenile', 'Family', 'Audiobook')"
